qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.0469968318939209,0.05800056457519531,0.057999610900878906,0.05800032615661621,0.06299996376037598,0.07400131225585938,0.034000396728515625
0.05299854278564453,0.058000802993774414,0.05900096893310547,0.06499862670898438,0.07400155067443848,0.07400274276733398,0.0339963436126709
0.0429997444152832,0.06499958038330078,0.06399989128112793,0.059999704360961914,0.07000136375427246,0.08800005912780762,0.03400087356567383
0.04400229454040527,0.06399726867675781,0.07999920845031738,0.08699941635131836,0.0650029182434082,0.07600092887878418,0.03599953651428223
0.04000067710876465,0.06500077247619629,0.0670011043548584,0.06599926948547363,0.0690007209777832,0.07399916648864746,0.03400135040283203
0.04199862480163574,0.06799983978271484,0.06100606918334961,0.06899452209472656,0.06699919700622559,0.07500195503234863,0.033998966217041016
0.045000553131103516,0.05899858474731445,0.05699729919433594,0.05800175666809082,0.0599970817565918,0.07300138473510742,0.03400015830993652
0.043001651763916016,0.060997962951660156,0.05800032615661621,0.06699991226196289,0.06699967384338379,0.0859992504119873,0.03399991989135742
0.041001319885253906,0.05999922752380371,0.05899977684020996,0.06100130081176758,0.06499838829040527,0.07600021362304688,0.03300023078918457
0.04000043869018555,0.05899953842163086,0.05800127983093262,0.06399869918823242,0.0670015811920166,0.07299923896789551,0.034000396728515625
0.04200029373168945,0.061002254486083984,0.06599974632263184,0.06099724769592285,0.06099987030029297,0.07899999618530273,0.03499937057495117
0.0440065860748291,0.06499648094177246,0.05600166320800781,0.058001041412353516,0.06299972534179688,0.07200002670288086,0.032999277114868164
0.040999650955200195,0.062001705169677734,0.06299948692321777,0.06399893760681152,0.06199955940246582,0.07200264930725098,0.03299856185913086
0.03999948501586914,0.061004638671875,0.05999588966369629,0.0579988956451416,0.06500005722045898,0.07199978828430176,0.03500080108642578
0.041998863220214844,0.06099843978881836,0.06199979782104492,0.06600022315979004,0.06599974632263184,0.08100199699401855,0.03299832344055176
